feature,family,mask,model,n,squared_error_sum,truth_energy_sum,rmse_sd,r2
TAG52:5-FA22:5,TAG,1,family_score_ridge,1539,300.6243088744281,1548.5002849730454,0.44196994543401347,0.8058609922182475
TAG52:5-FA22:5,TAG,1,population_mean,1539,1548.5002849730454,1548.5002849730454,1.0030817637031608,0.0
TAG52:5-FA22:5,TAG,1,random_group_score_ridge,1539,285.1904783057252,1548.5002849730454,0.4304752638250583,0.8158279458691288
TAG52:6-FA16:0,TAG,1,all_visible_ridge,1539,19.43242732813512,1555.575480546349,0.11236840495813907,0.987507885299587
TAG52:6-FA16:0,TAG,1,family_score_ridge,1539,606.8007226285939,1555.575480546349,0.6279191594813704,0.609918817687025
TAG52:6-FA16:0,TAG,1,population_mean,1539,1555.575480546349,1555.575480546349,1.0053707240379857,0.0
TAG52:6-FA16:0,TAG,1,random_group_score_ridge,1539,459.1930789071825,1555.575480546349,0.546233531939109,0.7048082303624992
TAG52:6-FA16:1,TAG,1,all_visible_ridge,1539,9.375096861017049,1565.2079218327326,0.07804922082478535,0.9940103185460245
TAG52:6-FA16:1,TAG,1,family_score_ridge,1539,721.3389125010594,1565.2079218327326,0.6846212426879623,0.5391417955153015
TAG52:6-FA16:1,TAG,1,population_mean,1539,1565.2079218327326,1565.2079218327326,1.0084786507284798,0.0
TAG52:6-FA16:1,TAG,1,random_group_score_ridge,1539,354.02462841064715,1565.2079218327326,0.47962015808690267,0.7738162301171382
TAG52:6-FA18:1,TAG,1,all_visible_ridge,1539,47.963631715944345,1552.8797768223753,0.1765373974740661,0.9691131068664625
TAG52:6-FA18:1,TAG,1,family_score_ridge,1539,590.9499371597161,1552.8797768223753,0.619663670938548,0.6194490095241214
TAG52:6-FA18:1,TAG,1,population_mean,1539,1552.8797768223753,1552.8797768223753,1.0044992276702394,0.0
TAG52:6-FA18:1,TAG,1,random_group_score_ridge,1539,440.35306144898095,1552.8797768223753,0.5349105950261246,0.7164281047242009
TAG52:6-FA18:2,TAG,2,all_visible_ridge,1539,6.674449448260211,1567.7781302401604,0.06585494845026266,0.9957427334139188
TAG52:6-FA18:2,TAG,2,family_score_ridge,1539,756.0358230131189,1567.7781302401604,0.7008932493519122,0.5177660611343613
TAG52:6-FA18:2,TAG,2,population_mean,1539,1567.7781302401604,1567.7781302401604,1.0093063162004543,0.0
TAG52:6-FA18:2,TAG,2,random_group_score_ridge,1539,133.4474041335437,1567.7781302401604,0.29446640559560416,0.914881192970142
TAG52:6-FA18:3,TAG,4,all_visible_ridge,1539,7.197494641168207,1568.0019099838837,0.06838665556691938,0.9954097666620558
TAG52:6-FA18:3,TAG,4,family_score_ridge,1539,830.7236369176164,1568.0019099838837,0.734698196875614,0.47020240751737685
TAG52:6-FA18:3,TAG,4,population_mean,1539,1568.0019099838837,1568.0019099838837,1.009378346242613,0.0
TAG52:6-FA18:3,TAG,4,random_group_score_ridge,1539,399.461360332597,1568.0019099838837,0.5094693695922206,0.7452417897011983
TAG52:6-FA20:4,TAG,0,all_visible_ridge,1539,14.659293182729954,1595.1373432951752,0.09759716566792924,0.9908100119125496
TAG52:6-FA20:4,TAG,0,family_score_ridge,1539,517.0742564727283,1595.1373432951752,0.5796383988932741,0.6758434258679096
TAG52:6-FA20:4,TAG,0,population_mean,1539,1595.1373432951752,1595.1373432951752,1.018074902138657,0.0
TAG52:6-FA20:4,TAG,0,random_group_score_ridge,1539,468.9502272752107,1595.1373432951752,0.5520063395281609,0.7060126331777358
TAG52:6-FA20:5,TAG,0,all_visible_ridge,1539,11.174351221236032,1591.686472089955,0.08521025183830289,0.9929795525581344
TAG52:6-FA20:5,TAG,0,family_score_ridge,1539,784.1000545444392,1591.686472089955,0.7137833810783207,0.5073778232751573
TAG52:6-FA20:5,TAG,0,population_mean,1539,1591.686472089955,1591.686472089955,1.0169730698891504,0.0
TAG52:6-FA20:5,TAG,0,random_group_score_ridge,1539,779.7701122669887,1591.686472089955,0.7118098322870186,0.5100981720080111
TAG52:6-FA22:6,TAG,0,all_visible_ridge,1539,12.279960599827735,1600.8825679131753,0.0893262653215801,0.9923292558455208
TAG52:6-FA22:6,TAG,0,family_score_ridge,1539,777.2622129151364,1600.8825679131753,0.7106642478057064,0.5144789327499932
TAG52:6-FA22:6,TAG,0,population_mean,1539,1600.8825679131753,1600.8825679131753,1.019906660329777,0.0
TAG52:6-FA22:6,TAG,0,random_group_score_ridge,1539,682.8192898077152,1600.8825679131753,0.6660910233121649,0.5734732181525333
TAG52:7-FA16:0,TAG,2,all_visible_ridge,1539,10.278159709092128,1562.4593165788076,0.08172188414181475,0.9934218065071945
TAG52:7-FA16:0,TAG,2,family_score_ridge,1539,505.9893361129141,1562.4593165788076,0.5733916603637805,0.6761583928976541
TAG52:7-FA16:0,TAG,2,population_mean,1539,1562.4593165788076,1562.4593165788076,1.0075927851314725,0.0
TAG52:7-FA16:0,TAG,2,random_group_score_ridge,1539,114.33449305587504,1562.4593165788076,0.27256452170054585,0.9268240191327195
TAG52:7-FA18:1,TAG,3,all_visible_ridge,1539,29.375368490164075,1554.886047041232,0.13815682741171528,0.9811077033290884
